date,channel,spend,clicks,impressions
2021-10-05,Meta,50.0,22,2050
2021-10-06,Meta,50.0,22,2252
2021-10-07,Meta,50.0,39,3188
2021-10-08,Meta,50.0,33,3215
2021-10-09,Meta,50.0,42,2656
2021-10-10,Meta,50.0,52,3142
2021-10-11,Meta,50.0,55,3699
2021-10-12,Meta,113.48,135,5652
2021-10-13,Meta,163.59,171,7865
2021-10-14,Meta,248.24,206,12087
2021-10-15,Meta,248.09,239,11928
2021-10-16,Meta,239.62,231,12208
2021-10-17,Meta,250.0,307,13738
2021-10-18,Meta,250.0,275,13847
2021-10-19,Meta,250.0,280,12678
2021-10-20,Meta,249.92,294,11078
2021-10-21,Meta,250.0,311,9422
2021-10-22,Meta,250.0,314,9720
2021-10-23,Meta,575.08,669,24675
2021-10-24,Meta,505.79,577,25762
2021-10-25,Meta,504.12,457,23839
2021-10-26,Meta,503.4,425,24324
2021-10-27,Meta,497.99,454,26310
2021-10-28,Meta,481.92,355,24145
2021-10-29,Meta,494.15,252,16773
2021-10-30,Meta,512.63,275,16428
2021-10-31,Meta,502.87,286,19394
2021-11-01,Meta,503.17,322,22958
2021-11-02,Meta,489.11,265,19747
2021-11-03,Meta,504.61,281,23634
2021-11-04,Meta,501.79,295,23490
2021-11-05,Meta,497.95,229,20116
2021-11-06,Meta,500.5,223,20124
2021-11-07,Meta,512.29,286,21718
2021-11-08,Meta,503.49,307,20886
2021-11-09,Meta,501.09,284,22741
2021-11-10,Meta,499.69,292,22638
2021-11-11,Meta,491.49,298,23105
2021-11-12,Meta,489.77,245,21097
2021-11-13,Meta,502.18,250,19833
2021-11-14,Meta,503.63,281,20102
2021-11-15,Meta,503.58,235,21539
2021-11-16,Meta,502.13,203,20749
2021-11-17,Meta,502.39,212,19830
2021-11-18,Meta,502.09,193,18476
2021-11-19,Meta,497.44,215,18822
2021-11-20,Meta,488.74,214,17337
2021-11-21,Meta,503.95,244,18303
2021-11-22,Meta,504.28,351,20569
2021-11-23,Meta,435.83,136,17234
2021-11-24,Meta,384.91,105,16507
2021-11-25,Meta,406.83,108,13365
2021-11-26,Meta,403.39,69,12329
2021-11-27,Meta,396.23,92,13262
2021-11-28,Meta,445.56,129,14859
2021-11-29,Meta,599.67,295,23746
2021-11-30,Meta,603.52,345,29014
2021-12-01,Meta,588.53,274,33461
2021-12-02,Meta,597.32,307,31887
2021-12-03,Meta,606.17,313,31222
2021-12-04,Meta,591.45,338,32685
2021-12-05,Meta,596.89,393,35603
2021-12-06,Meta,600.12,329,37842
2021-12-07,Meta,489.29,252,35321
2021-12-08,Meta,465.25,373,37180
2021-12-09,Meta,457.62,293,33764
2021-12-10,Meta,479.22,320,30539
2021-12-11,Meta,462.91,313,30706
2021-12-12,Meta,485.51,327,40061
2021-12-13,Meta,482.82,316,39703
2021-12-14,Meta,485.15,365,41025
2021-12-15,Meta,475.43,408,39608
2021-12-16,Meta,484.32,367,39658
2021-12-17,Meta,469.13,334,36060
2021-12-18,Meta,477.64,395,40018
2021-12-19,Meta,484.83,402,40255
2021-12-20,Meta,484.6,309,34551
2021-12-21,Meta,466.73,299,35163
2021-12-22,Meta,475.35,366,38772
2021-12-23,Meta,476.83,393,38943
2021-12-24,Meta,479.15,371,41785
2021-12-25,Meta,492.51,445,48515
2021-12-26,Meta,483.47,499,51072
2021-12-27,Meta,473.82,434,48766
2021-12-28,Meta,476.41,436,48596
2021-12-29,Meta,485.73,493,54707
2021-12-30,Meta,484.51,508,54680
2021-12-31,Meta,482.77,486,66628
2022-01-01,Meta,473.29,522,71065
2022-01-02,Meta,472.56,677,80165
2022-01-03,Meta,484.57,475,72455
2022-01-04,Meta,470.93,574,72776
2022-01-05,Meta,652.49,738,89417
2022-01-06,Meta,706.08,858,99109
2022-01-07,Meta,702.77,776,89136
2022-01-08,Meta,688.59,886,86284
2022-01-09,Meta,726.76,1002,100622
2022-01-10,Meta,404.66,508,65558
2022-01-11,Meta,345.27,491,52931
2022-01-12,Meta,336.66,393,44313
2022-01-13,Meta,347.93,390,50671
2022-01-14,Meta,344.85,387,43807
2022-01-15,Meta,336.89,416,43392
2022-01-16,Meta,353.08,492,56800
2022-01-17,Meta,352.14,470,55297
2022-01-18,Meta,351.3,385,46495
2022-01-19,Meta,368.62,430,48089
2022-01-20,Meta,504.16,1010,67076
2022-01-21,Meta,503.8,1019,66266
2022-01-22,Meta,494.93,1221,73893
2022-01-23,Meta,502.87,1434,72522
2022-01-24,Meta,506.84,1430,68506
2022-01-25,Meta,482.48,1609,69436
2022-01-26,Meta,518.16,1247,62769
2022-01-27,Meta,489.67,1533,73441
2022-01-28,Meta,496.34,1519,71655
2022-01-29,Meta,503.64,1534,73021
2022-01-30,Meta,493.04,1612,81410
2022-01-31,Meta,492.23,1546,83153
2022-02-01,Meta,508.22,1532,78164
2022-02-02,Meta,492.07,1473,66520
2022-02-03,Meta,497.66,1492,73143
2022-02-04,Meta,514.75,1328,66597
2022-02-05,Meta,502.03,1408,66996
2022-02-06,Meta,491.3,1506,76489
2022-02-07,Meta,505.95,1252,72996
2022-02-08,Meta,505.33,1066,61533
2022-02-09,Meta,503.68,1012,57639
2022-02-10,Meta,500.26,1041,57638
2022-02-11,Meta,490.43,870,44903
