date,channel,bookings,gmv
2021-11-12,Other,1,900.0
2021-11-14,Other,1,1200.0
2021-11-17,Other,1,1200.0
2021-11-29,Other,1,3000.0
2021-12-13,Other,2,7200.0
2021-12-15,Other,1,9900.0
2021-12-26,Other,1,2500.0
2021-12-30,Other,1,1000.0
2021-12-31,Other,11,38032.0
2022-01-01,Other,2,4585.0
2022-01-02,Other,2,6629.0
2022-01-03,Other,1,1575.0
2022-01-07,Other,1,5991.0
2022-01-08,Other,1,3600.0
2022-01-09,Other,1,2475.0
2022-01-10,Other,2,12424.0
2022-01-11,Other,1,2475.0
2022-01-12,Other,2,8475.0
2022-01-15,Other,2,11654.0
2022-01-16,Other,1,4055.0
2022-01-17,Other,2,13384.0
2022-01-26,Other,1,4108.0
2022-01-27,Other,1,575.0
2022-01-29,Other,1,8502.0
2022-01-30,Other,1,1900.0
2022-02-01,Other,2,3549.0
2022-02-03,Other,2,4016.01
2022-02-07,Other,2,3737.0
2022-02-08,Other,1,6608.0
2022-02-09,Other,1,1263.0
2022-02-10,Other,1,3292.0
2022-02-17,Other,1,2878.0
2022-02-19,Other,2,9531.0
2022-02-21,Other,2,2351.0
2022-02-27,Other,1,3282.0
2022-03-05,Other,1,4251.0
2022-03-06,Other,1,495.0
2022-03-08,Other,1,3501.0
2022-03-09,Other,1,1594.0
2022-03-11,Other,1,1120.0
2022-03-31,Other,62,162561.87
2022-04-01,Other,5,54820.0
2022-04-02,Other,3,13706.38
2022-04-04,Other,4,20851.0
2022-04-05,Other,2,22400.0
2022-04-06,Other,3,8950.0
2022-04-07,Other,1,2375.0
2022-04-09,Other,1,7291.5
2022-04-10,Other,3,21683.0
2022-04-11,Other,1,6950.0
2022-04-12,Other,5,18064.65
2022-04-13,Other,4,7051.0
2022-04-14,Other,5,15694.0
2022-04-15,Other,2,3675.0
2022-04-16,Other,1,3276.0
2022-04-18,Other,3,10893.0
2022-04-19,Other,4,14338.0
2022-04-20,Other,1,6168.0
2022-04-21,Other,3,7825.0
2022-04-23,Other,1,7989.0
2022-04-24,Other,1,5173.0
2022-04-25,Other,2,7182.0
2022-04-26,Other,5,22084.82
2022-04-27,Other,1,1191.0
2022-04-29,Other,1,3550.0
2022-04-30,Other,2,6962.0
2022-05-01,Other,2,5038.0
2022-05-02,Other,1,1750.0
2022-05-04,Other,1,1920.0
2022-05-05,Other,1,0.0
2022-05-06,Other,1,4634.0
2022-05-07,Other,2,6869.85
2022-05-08,Other,4,8852.11
2022-05-09,Other,3,9284.0
2022-05-10,Airbnb,3,3676.3
2022-05-10,Other,1,3750.0
2022-05-11,Other,1,2100.0
2022-05-12,Other,2,24607.56
2022-05-13,Other,3,13648.0
2022-05-15,Other,3,8200.0
2022-05-16,Airbnb,1,780.85
2022-05-16,Other,3,16562.93
2022-05-18,Other,2,7272.46
2022-05-19,Airbnb,1,3515.28
2022-05-19,Other,1,9200.0
2022-05-20,Airbnb,1,2343.52
2022-05-20,Booking,1,3220.0
2022-05-21,Other,1,2625.0
2022-05-22,Other,1,5500.0
2022-05-23,Other,3,10500.0
2022-05-24,Other,1,1399.0
2022-05-25,Airbnb,1,2343.52
2022-05-26,Airbnb,1,6030.25
2022-05-26,Manual,1,4400.0
2022-05-27,Other,1,3288.93
2022-05-28,Airbnb,1,2677.2
2022-05-29,Other,2,0.5
2022-05-31,Airbnb,3,3779.12
2022-05-31,Organic,1,1801.0
2022-05-31,Other,1,6050.0
2022-06-02,Airbnb,1,2454.1
2022-06-02,Other,1,3600.0
2022-06-03,Airbnb,1,2120.42
2022-06-04,Other,3,11136.0
2022-06-06,Google,1,1833.0
2022-06-06,Other,2,9842.0
2022-06-07,Other,5,8812.0
2022-06-08,Other,1,2816.0
2022-06-10,Other,5,9572.0
2022-06-12,Other,2,3345.0
2022-06-13,Airbnb,1,3123.4
2022-06-13,Other,1,1726.0
2022-06-14,Other,2,4485.0
2022-06-16,Other,2,3488.5
2022-06-17,Other,1,3599.0
2022-06-18,Other,2,7614.5
2022-06-19,Other,2,6380.48
2022-06-20,Other,2,18584.4
2022-06-21,Airbnb,1,1039.26
2022-06-21,Other,42,63700.87
2022-06-22,Airbnb,1,2007.9
2022-06-22,Other,17,68055.7
2022-06-23,Airbnb,1,2383.29
2022-06-23,Other,5,12913.55
2022-06-24,Other,1,3601.0
2022-06-25,Other,1,2385.0
2022-06-26,Other,1,1200.0
2022-06-27,Other,1,3450.0
2022-06-28,Other,1,3497.0
2022-06-29,Airbnb,1,480.15
2022-06-29,Other,1,4177.0
2022-06-30,Other,1,1552.0
2022-07-01,Airbnb,1,13280.27
2022-07-01,Other,2,14467.5
2022-07-02,Other,2,15737.0
2022-07-03,Other,2,4990.66
2022-07-04,Other,3,10672.0
2022-07-07,Other,1,1566.0
2022-07-08,Other,2,4452.95
2022-07-09,Other,1,200.0
2022-07-10,Airbnb,1,3681.15
2022-07-12,Other,1,2815.0
2022-07-13,Airbnb,1,3461.93
2022-07-13,Other,1,4200.0
2022-07-14,Other,1,3006.0
2022-07-15,Other,2,9586.0
2022-07-17,Other,1,1150.0
2022-07-18,Other,3,17090.54
2022-07-19,Other,1,2240.0
2022-07-20,Other,2,8925.25
2022-07-21,Other,2,5182.0
2022-07-22,Other,1,2322.0
2022-07-23,Organic,1,2300.0
2022-07-24,Airbnb,1,3175.87
2022-07-24,Other,2,9894.0
2022-07-25,Other,3,17575.5
2022-07-26,Other,6,7400.0
2022-07-27,Other,5,14573.0
2022-07-28,Other,2,4560.0
2022-07-29,Other,1,2463.41
2022-07-30,Other,1,6951.0
2022-07-31,Other,3,9898.0
2022-08-01,Other,3,8197.55
2022-08-02,Other,1,1165.65
2022-08-03,Other,1,8671.75
2022-08-04,Other,1,2150.0
2022-08-05,Other,2,8245.0
2022-08-07,Other,2,10905.0
2022-08-08,Other,2,9582.0
2022-08-09,Other,3,4820.58
2022-08-10,Other,1,3135.45
2022-08-12,Other,1,5800.0
2022-08-15,Other,1,3137.8
2022-08-17,Other,3,14727.0
2022-08-18,Airbnb,1,2815.91
2022-08-19,Other,3,10728.5
2022-08-20,Other,3,9904.0
2022-08-21,Other,2,5123.0
2022-08-22,Other,2,6086.0
2022-08-23,Other,3,11402.0
2022-08-24,Other,1,1150.0
2022-08-25,Other,2,6660.66
2022-08-26,Other,1,3730.33
2022-08-27,Other,4,12867.15
2022-08-28,Airbnb,1,1936.12
2022-08-28,Other,4,10265.0
2022-08-29,Other,2,5922.0
2022-08-30,Other,3,16119.0
2022-08-31,Other,1,3332.0
2022-09-01,Airbnb,2,3179.66
2022-09-03,Other,2,7711.0
2022-09-04,Other,2,4853.25
2022-09-05,Other,3,19696.0
2022-09-06,Other,3,19236.5
2022-09-07,Other,1,2958.75
2022-09-08,Airbnb,1,505.03
2022-09-08,Other,1,6635.0
2022-09-09,Other,3,11430.0
2022-09-10,Other,4,44714.15
2022-09-11,Airbnb,1,5667.71
2022-09-11,Other,2,3828.0
2022-09-12,Airbnb,1,3209.73
2022-09-12,Booking,1,12315.0
