date,channel,account_creations,checkout_started
2022-04-26,Organic,0,0
2022-04-27,Organic,0,6
2022-04-27,Other,0,1
2022-04-28,Customer IO,0,4
2022-04-28,Influencer,0,1
2022-04-28,Organic,0,42
2022-04-28,Other,0,115
2022-04-29,Customer IO,0,4
2022-04-29,Direct Mail,0,2
2022-04-29,Organic,0,24
2022-04-29,Other,0,195
2022-04-30,Customer IO,0,2
2022-04-30,Direct Mail,0,2
2022-04-30,Influencer,0,2
2022-04-30,Meta,0,1
2022-04-30,Organic,0,19
2022-04-30,Other,0,258
2022-05-01,Customer IO,0,1
2022-05-01,Meta,0,10
2022-05-01,Organic,0,39
2022-05-01,Other,0,277
2022-05-02,Customer IO,0,5
2022-05-02,Direct Mail,0,6
2022-05-02,Meta,0,4
2022-05-02,Organic,0,47
2022-05-02,Other,0,272
2022-05-03,Customer IO,0,9
2022-05-03,Google,0,1
2022-05-03,Organic,0,32
2022-05-03,Other,0,277
2022-05-04,Customer IO,0,3
2022-05-04,Direct Mail,0,3
2022-05-04,Google,0,1
2022-05-04,Influencer,0,1
2022-05-04,Meta,0,1
2022-05-04,Organic,0,65
2022-05-04,Other,0,411
2022-05-05,Customer IO,0,6
2022-05-05,Direct Mail,0,7
2022-05-05,Google,0,1
2022-05-05,Influencer,0,4
2022-05-05,Organic,0,41
2022-05-05,Other,0,424
2022-05-06,Customer IO,0,6
2022-05-06,Direct Mail,0,17
2022-05-06,Google,0,4
2022-05-06,Influencer,0,2
2022-05-06,Organic,0,61
2022-05-06,Other,0,334
2022-05-07,Customer IO,0,15
2022-05-07,Direct Mail,0,19
2022-05-07,Google,0,2
2022-05-07,Influencer,0,1
2022-05-07,Organic,0,22
2022-05-07,Other,0,464
2022-05-08,Customer IO,0,8
2022-05-08,Direct Mail,0,6
2022-05-08,Google,0,2
2022-05-08,Influencer,0,3
2022-05-08,Meta,0,1
2022-05-08,Organic,0,48
2022-05-08,Other,0,419
2022-05-09,Customer IO,0,5
2022-05-09,Meta,0,2
2022-05-09,Organic,0,37
2022-05-09,Other,0,291
2022-05-10,Airbnb,0,0
2022-05-10,Customer IO,0,1
2022-05-10,Direct Mail,0,9
2022-05-10,Google,0,1
2022-05-10,Meta,0,4
2022-05-10,Organic,0,44
2022-05-10,Other,0,442
2022-05-11,Customer IO,0,18
2022-05-11,Direct Mail,0,9
2022-05-11,Google,0,13
2022-05-11,Influencer,0,6
2022-05-11,Meta,0,1
2022-05-11,Organic,0,77
2022-05-11,Other,0,1249
2022-05-12,Customer IO,0,12
2022-05-12,Direct Mail,0,4
2022-05-12,Google,0,7
2022-05-12,Influencer,0,2
2022-05-12,Meta,0,1
2022-05-12,Organic,0,63
2022-05-12,Other,0,539
2022-05-13,Customer IO,0,12
2022-05-13,Direct Mail,0,5
2022-05-13,Google,0,2
2022-05-13,Influencer,0,4
2022-05-13,Organic,0,33
2022-05-13,Other,0,416
2022-05-14,Criteo,0,1
2022-05-14,Customer IO,0,10
2022-05-14,Direct Mail,0,8
2022-05-14,Google,0,3
2022-05-14,Organic,0,34
2022-05-14,Other,0,392
2022-05-15,Criteo,0,1
2022-05-15,Customer IO,0,3
2022-05-15,Direct Mail,0,7
2022-05-15,Google,0,4
2022-05-15,Meta,0,2
2022-05-15,Organic,0,23
2022-05-15,Other,0,387
2022-05-16,Airbnb,0,0
2022-05-16,Customer IO,0,3
2022-05-16,Direct Mail,0,8
2022-05-16,Google,0,1
2022-05-16,Organic,0,39
2022-05-16,Other,0,334
2022-05-17,Customer IO,0,8
2022-05-17,Google,0,2
2022-05-17,Organic,0,38
2022-05-17,Other,0,297
2022-05-18,Customer IO,0,10
2022-05-18,Direct Mail,0,2
2022-05-18,Google,0,2
2022-05-18,Organic,0,26
2022-05-18,Other,0,308
2022-05-19,Airbnb,0,0
2022-05-19,Customer IO,0,6
2022-05-19,Direct Mail,0,3
2022-05-19,Google,0,1
2022-05-19,Organic,0,22
2022-05-19,Other,0,264
2022-05-20,Airbnb,0,0
2022-05-20,Booking,0,0
2022-05-20,Customer IO,0,4
2022-05-20,Direct Mail,0,7
2022-05-20,Organic,0,12
2022-05-20,Other,0,279
2022-05-21,Customer IO,0,2
2022-05-21,Google,0,6
2022-05-21,Influencer,0,3
2022-05-21,Manual,0,1
2022-05-21,Meta,0,2
2022-05-21,Organic,0,30
2022-05-21,Other,0,304
2022-05-22,Airbnb,0,0
2022-05-22,Direct Mail,0,2
2022-05-22,Meta,0,2
2022-05-22,Organic,0,20
2022-05-22,Other,0,297
2022-05-23,Customer IO,0,6
2022-05-23,Direct Mail,0,4
2022-05-23,Google,0,5
2022-05-23,Organic,0,20
2022-05-23,Other,0,212
2022-05-24,Criteo,0,1
2022-05-24,Customer IO,0,9
2022-05-24,Direct Mail,0,2
2022-05-24,Google,0,3
2022-05-24,Organic,0,45
2022-05-24,Other,0,344
2022-05-25,Airbnb,0,0
